attendance,study_hours,quiz_score,assignment_score,midterm_score,sleep_hours,lms_login_count,participation,parent_education,internet_access,family_income,extracurricular,engagement_score,discipline_score,wellness_score,consistency_score,study_efficiency,attendance_band,high_engagement,target
100.0,4.24,70.95,79.71,19.44,6.6,2,68.36,High School,Yes,Low,Yes,55.09,76.20599999999999,66.0,56.699999999999996,13.540076335877863,Excellent,0,B
63.91,0.5,33.56,80.94,65.41,7.04,12,43.89,Master,No,Medium,No,51.340999999999994,61.988,70.4,59.97,22.373333333333335,Average,0,F
74.45,2.58,76.63,60.91,58.06,7.44,37,79.0,High School,Yes,High,No,101.3075,67.19800000000001,74.4,65.2,21.40502793296089,Good,1,C
59.76,2.96,64.65,75.68,59.39,6.39,14,63.34,High School,Yes,Medium,Yes,57.751,71.268,63.9,66.57333333333334,16.325757575757578,Average,0,C
57.77,6.32,86.8,87.99,36.41,6.38,21,60.23,Master,Yes,Medium,Yes,66.777,87.514,63.8,70.39999999999999,11.857923497267759,Average,0,B
100.0,3.46,48.67,78.41,38.77,6.12,24,64.13,Bachelor,Yes,High,Yes,87.0325,66.51400000000001,61.2,55.28333333333333,10.91255605381166,Excellent,1,B
80.57,5.14,95.24,73.88,48.75,7.3,36,77.88,Bachelor,Yes,High,No,101.6695,82.42399999999999,73.0,72.62333333333333,15.511400651465799,Good,1,A
80.01,1.87,49.88,62.59,45.99,5.94,2,75.5,Bachelor,Yes,High,No,49.8785,57.506,59.400000000000006,52.82,17.37979094076655,Good,0,D
52.56,2.9,86.05,61.28,63.13,8.65,36,65.04,Bachelor,Yes,Medium,No,88.656,71.188,86.5,70.15333333333332,22.064102564102566,Average,1,B
83.38,1.99,56.65,60.18,47.94,8.52,16,61.69,High School,Yes,Low,Yes,68.60549999999999,58.768,85.19999999999999,54.923333333333325,18.946488294314378,Good,0,C
95.36,1.71,76.41,40.42,73.31,7.9,20,44.35,Bachelor,Yes,Medium,No,74.4635,54.816,79.0,63.379999999999995,28.195571955719558,Excellent,0,C
95.24,1.83,88.96,81.92,69.91,6.06,14,74.27,High School,No,High,No,72.9015,84.73599999999999,60.599999999999994,80.26333333333334,31.434628975265014,Excellent,0,C
88.02,2.39,74.74,93.3,70.05,8.25,33,50.52,Bachelor,Yes,Medium,No,92.937,85.876,82.5,79.36333333333333,22.047197640117993,Excellent,1,B
61.06,7.18,60.48,57.09,71.87,7.98,11,34.69,Bachelor,No,High,No,46.543499999999995,58.446,79.80000000000001,63.14666666666667,7.393643031784841,Average,0,B
82.7,3.39,55.96,59.85,48.91,7.21,41,81.09,Master,Yes,Medium,No,110.7175,58.294,72.1,54.906666666666666,12.747152619589976,Good,1,B
88.01,1.06,59.68,59.23,68.66,8.71,7,6.15,Master,Yes,Medium,Yes,42.841,59.41,87.10000000000001,62.52333333333333,28.970873786407765,Excellent,0,D
51.08,2.56,44.02,77.37,54.52,7.82,35,72.29,Bachelor,Yes,High,No,88.4505,64.03,78.2,58.63666666666668,12.365168539325843,Average,1,C
61.18,5.33,68.86,41.42,58.24,7.08,10,56.03,High School,Yes,Low,No,50.420500000000004,52.396,70.8,56.17333333333334,10.878357030015797,Average,0,B
91.32,2.24,87.98,79.02,41.38,5.75,27,62.76,PhD,Yes,Low,No,88.15199999999999,82.604,57.5,69.46,27.15432098765432,Excellent,1,C
91.14,6.18,85.04,42.34,28.1,7.03,16,100.0,High School,Yes,High,Yes,80.899,59.42,70.3,51.826666666666675,11.844011142061282,Excellent,1,A
54.77,5.35,88.06,72.3,65.96,7.15,3,61.63,High School,Yes,High,Yes,39.077,78.604,71.5,75.44,13.867716535433072,Average,0,A
89.93,3.15,78.91,100.0,62.16,5.83,33,47.71,High School,No,Medium,No,92.90299999999999,91.564,58.3,80.35666666666667,19.0144578313253,Excellent,1,B
79.43,2.32,32.39,75.04,72.9,7.08,3,56.61,PhD,Yes,Low,No,46.453,57.980000000000004,70.8,60.11000000000001,9.756024096385543,Good,0,C
89.72,1.79,58.68,87.82,67.41,7.41,27,98.03,Bachelor,Yes,Low,Yes,96.4095,76.16399999999999,74.1,71.30333333333333,21.032258064516128,Excellent,1,B
68.48,3.85,74.63,59.61,43.54,8.55,43,59.98,High School,Yes,Medium,No,103.463,65.618,85.5,59.26,15.387628865979382,Average,1,B
87.68,4.25,57.09,67.89,66.03,7.36,21,49.49,High School,Yes,Medium,No,74.56049999999999,63.57000000000001,73.60000000000001,63.669999999999995,10.874285714285715,Excellent,0,B
90.66,5.91,59.27,77.1,55.74,6.1,36,56.16,Master,Yes,High,No,99.771,69.968,61.0,64.03666666666668,8.577424023154848,Excellent,1,A
72.73,4.14,69.18,52.43,56.22,7.46,41,90.17,High School,Yes,Medium,Yes,109.498,59.13,74.6,59.27666666666667,13.459143968871597,Good,1,B
78.27,2.87,65.86,64.12,80.04,9.61,5,55.23,High School,Yes,High,No,48.702,64.816,96.1,70.00666666666667,17.018087855297157,Good,0,B
68.27,5.97,77.34,52.85,54.31,4.0,29,40.26,Bachelor,No,Low,Yes,77.45949999999999,62.646,40.0,61.5,11.096126255380202,Average,0,B
100.0,4.97,51.16,68.0,67.2,7.09,6,45.05,Master,Yes,Medium,Yes,55.2625,61.263999999999996,70.9,62.120000000000005,8.569514237855946,Excellent,0,B
76.2,2.26,19.38,44.0,63.21,7.61,32,61.25,High School,Yes,Medium,Yes,89.9825,34.152,76.10000000000001,42.196666666666665,5.9447852760736195,Good,1,C
64.17,3.35,45.97,48.99,46.21,6.04,7,74.89,Master,Yes,Low,Yes,51.682,47.782,60.4,47.05666666666667,10.567816091954024,Average,0,D
67.26,4.69,88.56,59.71,58.04,9.52,30,69.5,Master,Yes,High,No,85.916,71.25,95.19999999999999,68.77,15.564147627416519,Average,1,B
79.9,4.05,66.95,78.84,39.59,6.77,13,100.0,Bachelor,Yes,High,No,72.465,74.084,67.69999999999999,61.793333333333344,13.257425742574258,Good,0,B
89.3,1.69,59.61,82.47,42.72,7.45,16,23.75,Master,Yes,Low,No,61.192499999999995,73.326,74.5,61.599999999999994,22.159851301115243,Excellent,0,C
57.96,3.82,88.93,83.02,40.62,7.78,29,43.63,Master,Yes,High,No,74.6935,85.384,77.8,70.85666666666667,18.45020746887967,Average,0,B
100.0,2.28,39.25,65.91,86.82,8.21,16,83.99,High School,Yes,Medium,No,79.9975,55.246,82.10000000000001,63.99333333333333,11.966463414634147,Excellent,0,C
82.63,3.61,83.92,61.99,86.15,6.59,27,52.28,Master,Yes,Medium,No,82.4905,70.762,65.9,77.35333333333334,18.203904555314537,Good,1,B
85.0,1.16,73.48,52.96,70.19,5.82,27,35.3,High School,Yes,High,No,79.07499999999999,61.168000000000006,58.2,65.54333333333334,34.01851851851852,Good,0,C
76.54,1.9,80.63,76.35,43.01,7.31,25,37.26,High School,Yes,High,No,73.604,78.062,73.1,66.66333333333333,27.803448275862067,Good,0,C
78.29,7.28,73.69,50.2,49.5,5.68,4,68.07,Bachelor,Yes,Medium,Yes,50.419,59.596000000000004,56.8,57.79666666666666,8.899758454106278,Good,0,A
75.78,2.73,81.02,92.53,68.52,7.21,19,35.51,Bachelor,Yes,Low,No,63.9005,87.926,72.1,80.69,21.721179624664877,Good,0,C
93.27,5.5,74.47,65.5,74.61,6.23,32,75.7,PhD,Yes,Medium,Yes,99.56949999999999,69.088,62.300000000000004,71.52666666666666,11.456923076923077,Excellent,1,A
77.88,3.27,71.92,46.17,74.28,7.66,32,62.43,Master,Yes,Medium,No,90.8655,56.47,76.6,64.12333333333333,16.843091334894616,Good,1,B
89.51,1.33,73.28,66.67,70.74,8.24,30,52.43,Bachelor,Yes,High,No,89.436,69.31400000000001,82.4,70.23,31.450643776824034,Excellent,1,C
71.49,1.56,44.97,61.53,71.13,5.15,33,26.55,Master,Yes,Low,Yes,81.15899999999999,54.906,51.5,59.21,17.56640625,Good,1,C
80.93,2.07,51.03,47.14,50.49,7.05,2,43.39,Bachelor,Yes,High,Yes,42.173,48.696,70.5,49.553333333333335,16.622149837133552,Good,0,D
65.94,7.36,100.0,95.9,62.95,5.84,19,72.41,Bachelor,Yes,Medium,Yes,69.6815,97.53999999999999,58.4,86.28333333333335,11.961722488038278,Average,0,A
96.25,3.08,52.22,74.06,78.78,8.98,16,44.43,Master,Yes,Low,No,68.795,65.324,89.80000000000001,68.35333333333334,12.799019607843137,Excellent,0,B
65.49,3.83,45.82,52.91,3.5,5.69,41,75.88,High School,Yes,Medium,No,103.3915,50.074,56.900000000000006,34.07666666666666,9.486542443064183,Average,1,C
73.13,4.73,57.78,50.79,77.08,7.45,42,53.62,High School,No,Medium,No,102.00049999999999,53.586,74.5,61.883333333333326,10.083769633507853,Good,1,B
73.28,4.41,53.09,76.54,100.0,5.41,24,29.6,High School,Yes,High,No,69.048,67.16,54.1,76.54333333333334,9.813308687615526,Good,0,B
72.69,5.06,46.8,84.27,40.5,5.39,4,74.3,Bachelor,No,Medium,Yes,50.01649999999999,69.282,53.9,57.19,7.7227722772277225,Good,0,C
88.84,2.55,77.57,81.51,55.7,6.91,34,24.95,Bachelor,Yes,Low,Yes,88.3315,79.934,69.1,71.59333333333332,21.85070422535211,Excellent,1,B
73.25,1.37,60.77,78.88,81.02,7.67,10,59.52,High School,Yes,Low,No,55.5175,71.636,76.7,73.55666666666667,25.641350210970465,Good,0,C
98.91,1.8,42.71,71.92,77.1,8.48,44,64.36,Bachelor,Yes,Medium,Yes,116.7085,60.236000000000004,84.80000000000001,63.91,15.25357142857143,Excellent,1,B
65.72,0.74,52.82,92.23,26.35,7.11,16,76.24,High School,Yes,Medium,No,66.062,76.46600000000001,71.10000000000001,57.13333333333333,30.35632183908046,Average,0,D
80.54,2.56,44.02,82.85,29.9,5.84,12,72.74,High School,Yes,High,No,64.374,67.318,58.4,52.25666666666667,12.365168539325843,Good,0,C
66.36,0.5,57.63,70.84,72.11,6.97,24,57.21,Bachelor,Yes,Medium,No,73.52850000000001,65.556,69.7,66.86,38.42,Average,0,D
84.31,4.8,79.06,72.81,38.72,6.38,23,98.31,Master,Yes,Medium,Yes,88.586,75.31,63.8,63.53,13.631034482758622,Good,1,B
77.76,4.53,64.53,43.09,32.75,6.9,6,43.88,High School,Yes,Low,No,47.186,51.666000000000004,69.0,46.79,11.669077757685352,Good,0,C
75.67,1.74,73.57,58.69,65.75,8.35,5,36.87,High School,No,Medium,No,43.202,64.642,83.5,66.00333333333333,26.850364963503644,Good,0,D
95.83,1.02,70.46,46.61,82.15,7.75,43,50.12,Bachelor,No,High,No,110.5705,56.14999999999999,77.5,66.40666666666667,34.88118811881188,Excellent,1,C
68.18,6.25,63.91,70.79,62.96,4.18,13,63.1,High School,Yes,Low,No,59.138,68.03800000000001,41.8,65.88666666666667,8.815172413793103,Average,0,B
86.8,5.24,69.46,38.55,66.63,7.55,26,53.57,High School,Yes,Low,Yes,82.7725,50.914,75.5,58.21333333333333,11.131410256410255,Excellent,1,B
66.47,3.04,74.14,87.0,62.85,6.9,28,19.15,High School,Yes,Medium,Yes,70.05199999999999,81.856,69.0,74.66333333333333,18.35148514851485,Average,0,B
79.69,2.28,45.88,100.0,57.15,5.95,43,44.91,Bachelor,Yes,Medium,Yes,103.619,78.352,59.5,67.67666666666666,13.987804878048783,Good,1,B
60.07,3.57,86.05,65.52,100.0,8.81,9,41.91,High School,Yes,Medium,Yes,45.001999999999995,73.732,88.10000000000001,83.85666666666667,18.82932166301969,Average,0,B
68.06,0.91,89.59,58.36,62.21,7.44,17,69.16,High School,Yes,Medium,No,66.61099999999999,70.852,74.4,70.05333333333333,46.90575916230366,Average,0,C
76.77,4.03,52.37,56.69,52.07,7.13,29,67.46,Bachelor,Yes,Medium,Yes,87.2345,54.961999999999996,71.3,53.71,10.411530815109343,Good,1,B
100.0,1.34,76.34,38.09,77.53,7.82,30,47.59,Bachelor,Yes,Medium,Yes,91.89750000000001,53.39,78.2,63.98666666666667,32.623931623931625,Excellent,1,C
79.51,0.5,65.01,78.52,70.82,6.87,2,72.28,Bachelor,Yes,High,Yes,48.8985,73.116,68.7,71.45,43.34,Good,0,D
100.0,2.04,59.14,67.29,81.56,7.69,17,53.15,Master,Yes,Medium,No,73.7875,64.03,76.9,69.33,19.45394736842105,Excellent,0,C
81.3,1.67,100.0,73.4,80.85,6.9,42,74.21,Master,Yes,Medium,No,110.0075,84.03999999999999,69.0,84.75,37.453183520599254,Good,1,B
72.19,6.75,57.02,69.1,97.32,6.8,4,64.44,Bachelor,No,Medium,No,47.37649999999999,64.268,68.0,74.48,7.35741935483871,Good,0,B
100.0,6.51,56.06,68.44,43.43,8.68,24,59.86,High School,Yes,High,No,85.965,63.488,86.8,55.97666666666667,7.464713715046605,Excellent,1,B
84.56,1.49,65.72,44.36,66.27,4.97,9,61.84,High School,Yes,Medium,No,58.556,52.903999999999996,49.699999999999996,58.78333333333333,26.393574297188753,Good,0,D
68.36,3.32,59.48,76.04,49.49,9.33,26,68.35,Bachelor,Yes,Medium,No,80.0135,69.416,93.3,61.67000000000001,13.768518518518517,Average,1,B
85.06,2.32,41.06,95.19,27.06,5.61,12,58.81,Bachelor,Yes,Medium,Yes,62.4735,73.538,56.1,54.43666666666667,12.367469879518074,Excellent,0,C
73.61,6.81,54.6,60.67,79.38,7.04,29,56.82,PhD,Yes,Medium,No,83.4685,58.242000000000004,70.4,64.88333333333334,6.991037131882202,Good,1,A
48.16,0.5,81.1,55.4,55.15,4.35,37,49.28,Bachelor,Yes,Medium,No,84.676,65.67999999999999,43.5,63.88333333333333,54.06666666666666,Poor,1,D
92.04,4.34,68.56,88.63,93.68,7.11,31,95.14,Bachelor,No,Medium,Yes,102.499,80.602,71.10000000000001,83.62333333333333,12.838951310861423,Excellent,1,A
94.42,5.8,68.76,48.46,44.75,7.63,21,93.17,Bachelor,Yes,Medium,No,87.8395,56.580000000000005,76.3,53.99,10.111764705882354,Excellent,1,A
100.0,2.52,83.79,78.17,55.53,6.35,31,83.04,Bachelor,Yes,Low,No,102.26,80.418,63.5,72.49666666666667,23.803977272727273,Excellent,1,B
84.33,3.54,71.79,86.72,81.25,8.71,11,59.34,High School,Yes,Medium,Yes,60.8505,80.748,87.10000000000001,79.92,15.812775330396477,Good,0,B
74.27,5.4,45.61,85.27,41.66,6.25,7,27.74,PhD,Yes,High,Yes,43.4295,69.406,62.5,57.51333333333333,7.1265624999999995,Good,0,B
90.52,1.51,74.72,43.52,34.8,7.82,32,47.69,High School,Yes,Medium,No,91.6045,56.0,78.2,51.01333333333334,29.768924302788847,Excellent,1,C
90.75,4.65,65.47,68.73,77.36,4.08,2,57.93,High School,Yes,Medium,No,49.245,67.426,40.8,70.52,11.587610619469025,Excellent,0,B
100.0,0.71,62.61,60.18,63.14,7.07,3,75.64,High School,No,Low,Yes,58.41,61.152,70.7,61.97666666666667,36.6140350877193,Excellent,0,D
77.33,0.63,73.6,46.75,32.3,6.17,15,67.06,PhD,Yes,Medium,Yes,66.3305,57.489999999999995,61.7,50.883333333333326,45.15337423312884,Good,0,D
75.52,5.03,42.05,69.42,52.07,7.07,38,70.88,PhD,Yes,High,Yes,101.152,58.472,70.7,54.51333333333333,6.973466003316749,Good,1,B
67.27,1.76,57.55,78.65,51.96,8.0,17,75.97,High School,Yes,Low,No,68.03699999999999,70.21000000000001,80.0,62.72,20.85144927536232,Average,0,C
86.06,3.82,59.36,72.97,61.21,6.67,36,92.91,High School,Yes,High,Yes,107.3485,67.526,66.7,64.51333333333334,12.315352697095435,Excellent,1,B
54.78,1.38,92.65,100.0,52.58,4.86,30,52.51,Bachelor,Yes,Low,Yes,77.3005,97.06,48.6,81.74333333333334,38.92857142857143,Average,0,C
89.64,4.01,56.22,100.0,100.0,5.68,29,54.31,High School,Yes,High,Yes,88.4515,82.488,56.8,85.40666666666668,11.221556886227544,Excellent,1,B
86.82,0.51,76.06,69.47,60.32,9.08,19,57.72,High School,Yes,Low,Yes,73.317,72.106,90.8,68.61666666666666,50.37086092715232,Excellent,0,C
86.78,5.83,56.38,67.05,69.04,6.39,15,72.01,Bachelor,Yes,Medium,No,70.8755,62.782,63.9,64.15666666666668,8.254758418740849,Excellent,0,B
80.07,4.96,59.68,66.18,78.65,6.47,21,72.72,Bachelor,Yes,Low,Yes,77.7045,63.580000000000005,64.7,68.17,10.013422818791947,Good,0,A
100.0,2.42,73.57,87.15,35.82,7.42,34,69.53,High School,Yes,Medium,No,103.3825,81.71799999999999,74.2,65.51333333333334,21.511695906432745,Excellent,1,B
91.08,0.5,50.98,41.72,81.89,5.57,18,83.81,Master,No,Medium,No,79.8305,45.424,55.7,58.19666666666666,33.986666666666665,Excellent,0,D
68.89,3.13,41.46,71.01,58.95,8.58,9,32.63,High School,Yes,Low,Yes,45.769,59.19,85.8,57.14000000000001,10.038740920096853,Average,0,C
69.16,2.85,53.06,35.54,78.28,5.8,17,64.98,Bachelor,Yes,Medium,No,65.951,42.548,58.0,55.626666666666665,13.781818181818181,Average,0,C
64.8,2.52,71.71,72.53,38.87,5.83,2,74.98,High School,Yes,Low,Yes,44.425,72.202,58.3,61.03666666666667,20.37215909090909,Average,0,C
86.27,5.39,66.49,70.57,81.18,7.19,37,61.42,High School,Yes,High,No,101.0495,68.93799999999999,71.9,72.74666666666667,10.405320813771517,Excellent,1,A
63.0,5.68,91.12,93.19,67.2,7.04,41,70.52,Bachelor,No,High,Yes,101.17999999999999,92.362,70.4,83.83666666666666,13.640718562874254,Average,1,A
94.25,4.27,87.22,73.22,97.41,7.2,38,60.51,High School,Yes,Medium,Yes,105.115,78.82,72.0,85.95,16.550284629981025,Excellent,1,A
97.84,6.18,71.94,78.74,83.58,9.43,2,57.89,Master,Yes,Medium,No,51.716499999999996,76.02,94.3,78.08666666666666,10.01949860724234,Excellent,0,A
64.81,0.5,67.78,89.35,56.82,5.91,32,69.03,Master,Yes,Low,Yes,87.941,80.722,59.1,71.31666666666666,45.18666666666667,Average,1,C
75.22,2.95,71.63,76.6,53.59,6.5,21,72.29,Bachelor,Yes,Medium,Yes,75.8995,74.612,65.0,67.27333333333333,18.134177215189872,Good,0,C
78.25,2.87,56.44,64.32,41.54,5.84,21,58.47,Master,Yes,Low,No,73.505,61.16799999999999,58.4,54.099999999999994,14.583979328165373,Good,0,C
91.26,5.02,71.19,46.88,82.28,4.91,17,53.38,High School,Yes,Medium,No,70.786,56.604,49.1,66.78333333333333,11.825581395348838,Excellent,0,B
100.0,2.93,35.26,57.27,34.58,6.58,37,50.97,Master,Yes,Low,No,103.2425,48.466,65.8,42.37,8.972010178117047,Excellent,1,C
52.72,4.5,67.08,96.49,32.06,9.23,43,35.38,High School,Yes,High,Yes,91.797,84.726,92.30000000000001,65.21,12.196363636363635,Average,1,B
73.23,2.63,75.98,60.84,54.43,5.47,44,25.1,Master,No,Medium,No,97.9055,66.896,54.699999999999996,63.75,20.931129476584022,Good,1,C
74.01,2.29,75.97,59.45,97.45,7.23,19,78.14,High School,Yes,Low,No,73.9385,66.058,72.30000000000001,77.62333333333333,23.091185410334347,Good,0,C
56.99,4.94,91.59,85.98,44.95,6.12,21,69.73,Master,Yes,Medium,No,68.879,88.224,61.2,74.17333333333333,15.419191919191919,Average,0,B
70.72,3.5,50.11,63.13,82.54,8.27,37,70.04,High School,Yes,Low,Yes,97.762,57.922,82.69999999999999,65.26,11.135555555555555,Good,1,B
84.42,4.05,97.97,31.37,62.98,6.72,23,45.25,Master,Yes,Low,Yes,75.3595,58.010000000000005,67.2,64.10666666666667,19.400000000000002,Good,0,B
73.82,1.27,100.0,40.13,53.84,5.37,11,51.13,Bachelor,No,High,No,55.119499999999995,64.078,53.7,64.65666666666667,44.052863436123346,Good,0,D
54.83,4.72,81.22,56.51,84.09,6.35,5,66.82,Bachelor,No,Medium,No,43.3955,66.394,63.5,73.94,14.1993006993007,Average,0,C
100.0,1.56,96.64,82.19,79.74,5.32,6,47.13,Bachelor,Yes,Low,Yes,55.7825,87.97,53.2,86.19,37.75,Excellent,0,C
81.99,6.58,72.25,77.22,48.49,7.27,28,100.0,Bachelor,Yes,Medium,No,95.6965,75.232,72.69999999999999,65.98666666666666,9.531662269129287,Good,1,A
79.68,3.04,45.24,59.57,63.23,7.47,9,81.65,High School,Yes,Medium,No,61.8005,53.837999999999994,74.7,56.01333333333333,11.198019801980198,Good,0,C
61.53,2.75,37.68,68.82,74.11,6.69,24,57.6,High School,Yes,Medium,Yes,71.93549999999999,56.364,66.9,60.20333333333334,10.048,Average,0,C
81.91,5.11,25.89,73.85,84.22,8.56,15,50.01,High School,Yes,Medium,Yes,63.671,54.666,85.60000000000001,61.31999999999999,4.2373158756137475,Good,0,B
75.54,3.41,76.57,34.66,43.61,5.89,34,71.46,Bachelor,Yes,Low,Yes,95.304,51.42399999999999,58.9,51.61333333333332,17.36281179138322,Good,1,B
49.67,4.79,78.71,37.77,49.2,7.82,24,33.84,Master,Yes,Medium,Yes,61.8445,54.146,78.2,55.22666666666667,13.594127806563039,Poor,0,B
61.95,2.96,79.15,68.59,71.36,6.48,6,100.0,Master,Yes,High,No,55.682500000000005,72.81400000000001,64.80000000000001,73.03333333333335,19.98737373737374,Average,0,C
89.92,4.78,74.18,66.37,62.34,9.58,38,66.94,High School,Yes,Medium,No,105.207,69.494,95.8,67.63000000000001,12.833910034602077,Excellent,1,B
100.0,3.36,64.95,80.24,73.59,5.94,32,34.67,Master,Yes,Medium,No,91.6675,74.124,59.400000000000006,72.92666666666666,14.89678899082569,Excellent,1,B
83.51,5.06,39.37,31.77,19.91,7.41,40,51.68,Bachelor,No,High,Yes,102.1485,34.809999999999995,74.1,30.349999999999998,6.496699669966997,Good,1,B
94.55,5.57,34.34,73.72,76.23,7.62,34,52.69,Bachelor,Yes,High,Yes,97.26499999999999,57.968,76.2,61.43000000000001,5.226788432267885,Excellent,1,A
75.66,0.65,58.44,51.7,68.88,5.77,30,41.16,High School,Yes,High,No,81.771,54.396,57.699999999999996,59.673333333333325,35.41818181818182,Good,1,D
76.7,4.14,37.47,72.21,27.22,6.92,14,59.56,Bachelor,Yes,Medium,No,62.735,58.31399999999999,69.2,45.633333333333326,7.28988326848249,Good,0,C
94.36,6.79,19.2,49.12,50.05,6.45,11,37.54,Master,Yes,High,Yes,58.910999999999994,37.152,64.5,39.45666666666666,2.464698331193838,Excellent,0,B
100.0,4.61,65.38,84.96,50.69,8.17,44,57.58,High School,Yes,High,No,115.395,77.12799999999999,81.7,67.00999999999999,11.654188948306594,Excellent,1,B
97.52,7.89,68.53,82.91,81.45,5.42,9,64.43,Bachelor,Yes,High,No,63.7395,77.158,54.2,77.63,7.708661417322834,Excellent,0,A
62.0,1.83,60.24,60.22,60.39,5.56,22,78.95,Bachelor,Yes,Low,Yes,74.4375,60.228,55.599999999999994,60.28333333333334,21.286219081272083,Average,0,C
77.0,3.96,68.15,37.74,81.27,6.3,14,73.11,Bachelor,Yes,Low,No,66.22749999999999,49.90400000000001,63.0,62.38666666666668,13.739919354838712,Good,0,C
82.16,4.38,37.4,85.69,48.95,6.5,33,30.15,High School,Yes,Medium,No,85.7935,66.374,65.0,57.34666666666667,6.951672862453531,Good,1,B
74.1,2.55,77.68,71.36,44.39,7.68,20,59.76,High School,Yes,Medium,Yes,70.875,73.888,76.8,64.47666666666667,21.881690140845073,Good,0,B
83.82,1.28,78.82,100.0,55.92,5.55,4,77.91,High School,No,Medium,No,54.814499999999995,91.52799999999999,55.5,78.24666666666667,34.570175438596486,Good,0,D
90.31,7.41,58.06,73.38,81.61,6.35,19,74.76,High School,Yes,Medium,Yes,78.7985,67.25200000000001,63.5,71.01666666666667,6.903686087990487,Excellent,0,A
93.04,5.52,24.73,90.24,72.99,8.75,29,49.88,High School,No,Medium,No,88.53399999999999,64.036,87.5,62.65333333333333,3.792944785276074,Excellent,1,B
100.0,4.5,51.78,74.84,55.12,7.11,41,100.0,High School,Yes,Low,No,121.5,65.61600000000001,71.10000000000001,60.580000000000005,9.414545454545454,Excellent,1,B
73.06,3.59,72.25,32.35,85.67,7.67,21,83.52,High School,Yes,Medium,No,77.951,48.31,76.7,63.423333333333325,15.74074074074074,Good,0,B
57.54,3.75,49.03,54.63,64.33,6.71,25,78.75,High School,Yes,Medium,No,77.3265,52.39,67.1,55.99666666666667,10.322105263157894,Average,0,B
83.37,4.63,100.0,47.8,54.36,6.31,24,51.57,High School,Yes,Medium,Yes,78.072,68.67999999999999,63.099999999999994,67.38666666666667,17.761989342806395,Good,0,B
100.0,6.1,76.79,38.24,76.17,6.1,22,59.36,Bachelor,No,Medium,Yes,82.84,53.660000000000004,61.0,63.73333333333333,10.81549295774648,Excellent,1,B
70.85,2.23,73.11,71.71,69.61,5.82,19,76.91,PhD,Yes,Medium,Yes,72.52499999999999,72.27,58.2,71.47666666666667,22.63467492260062,Good,0,C
88.3,3.69,74.15,70.57,52.52,7.71,26,55.65,High School,Yes,Low,Yes,83.8175,72.002,77.1,65.74666666666667,15.810234541577827,Excellent,1,C
88.44,2.83,45.84,50.72,69.62,6.06,5,55.81,Master,Yes,High,No,52.406499999999994,48.768,60.599999999999994,55.39333333333334,11.968668407310705,Excellent,0,C
80.87,1.6,66.3,73.62,91.49,9.01,42,36.66,Bachelor,Yes,Medium,No,100.4695,70.69200000000001,90.1,77.13666666666667,25.499999999999996,Good,1,B
78.1,2.4,28.79,47.01,60.28,6.15,34,50.0,Bachelor,Yes,Low,No,90.835,39.722,61.5,45.35999999999999,8.467647058823529,Good,1,C
64.15,3.89,26.34,83.68,66.52,6.43,34,81.37,Bachelor,Yes,High,Yes,93.795,60.74400000000001,64.3,58.84666666666667,5.386503067484662,Average,1,B
43.78,2.96,60.11,95.54,76.42,7.5,22,74.65,High School,Yes,Low,Yes,66.9855,81.36800000000001,75.0,77.35666666666667,15.179292929292929,Poor,0,B
61.32,3.55,61.98,96.52,82.14,5.96,41,17.18,High School,Yes,Low,No,87.257,82.704,59.6,80.21333333333332,13.621978021978022,Average,1,B
72.15,4.8,82.06,72.04,73.84,9.05,24,50.36,Bachelor,Yes,Medium,No,73.8425,76.048,90.5,75.98,14.148275862068965,Good,0,B
94.46,5.58,44.26,58.64,82.83,5.23,20,56.37,Bachelor,Yes,Low,No,77.1535,52.888,52.300000000000004,61.910000000000004,6.72644376899696,Excellent,0,B
76.45,8.28,64.98,61.58,57.83,9.13,42,72.62,Bachelor,Yes,High,Yes,107.9125,62.940000000000005,91.30000000000001,61.46333333333333,7.002155172413794,Good,1,A
70.21,4.89,55.4,62.2,70.09,5.26,20,56.4,High School,Yes,Low,No,68.67349999999999,59.480000000000004,52.599999999999994,62.56333333333333,9.405772495755517,Good,0,C
64.64,2.39,35.3,95.72,66.89,8.8,31,65.36,Bachelor,Yes,Low,Yes,85.464,71.55199999999999,88.0,65.96999999999998,10.412979351032448,Average,1,C
87.85,5.48,57.86,80.27,53.65,5.45,32,8.29,High School,Yes,Medium,Yes,80.82,71.306,54.5,63.92666666666667,8.929012345679011,Excellent,1,A
98.38,2.93,47.35,48.98,66.3,7.81,7,66.28,Bachelor,Yes,Medium,No,61.50299999999999,48.328,78.1,54.21,12.048346055979644,Excellent,0,C
93.95,2.24,52.34,91.42,63.22,8.51,10,75.1,High School,Yes,Medium,Yes,66.6575,75.788,85.1,68.99333333333333,16.15432098765432,Excellent,0,C
87.09,4.62,57.41,59.86,56.63,5.98,29,64.69,Bachelor,Yes,High,No,90.154,58.879999999999995,59.800000000000004,57.96666666666667,10.215302491103202,Excellent,1,B
55.87,6.04,100.0,71.7,57.16,5.95,27,58.55,PhD,Yes,Low,Yes,74.692,83.02000000000001,59.5,76.28666666666666,14.204545454545455,Average,0,B
72.72,2.41,78.17,86.57,61.84,7.84,42,60.53,Bachelor,Yes,Low,Yes,103.58449999999999,83.21,78.4,75.52666666666667,22.923753665689148,Good,1,B
